,summary,Mitigation,Hazard,Causes,Impacts,word
myanmar potsdam,8.782268139959664,-0.010524084140878628,0.003656416498754038,0.014754624530915004,-0.005434630612475309,myanmar potsdam
potsdam myanmar,10.127638429879358,-0.008293608462610593,0.0031379410304000887,0.013273906137660534,-0.006067021058421479,potsdam myanmar
myanmar angabe+n,19.236627219710833,0.00022067883316909505,0.0011294744300790192,0.007444812359221033,-0.008362530170362462,myanmar angabe+n
angabe+n deutsch+en,6.22921485341811,-0.018229891643793468,0.010099282207980455,0.017030309459695834,-0.005273722160560917,angabe+n deutsch+en
deutsch+en geoforschungsinstitut,6.4770451556991695,-0.018384679362223356,0.01262491641897875,0.01569531487600341,-0.0063722960309019324,deutsch+en geoforschungsinstitut
potsdam schwer+es,11.222339354763298,-0.03492268449795466,0.0842737267010992,-0.015220558353433113,-0.034123691114620276,potsdam schwer+es
der erst+e,49.07702983537609,0.009303517349683066,-0.0010562642630993827,0.000979353729969042,-0.010674166446152773,der erst+e
erst+e kopier+e,7.520456161820918,-0.013124168207752007,0.004256402614323563,0.016453529187594365,-0.004677858552850523,erst+e kopier+e
hin+zu+füg+en südostasien,8.434262586282703,-0.011183665674725765,0.003809075181962597,0.015188421631304495,-0.005244713894738946,hin+zu+füg+en südostasien
südostasien erdbeben,66.16467236640642,0.01155552011227593,-0.001603889055674562,-0.0006539288143258763,-0.01123580606110383,südostasien erdbeben
wissenschaftler geh+en,7.520456161820918,-0.013124168207752007,0.004256402614323563,0.016453529187594365,-0.004677858552850523,wissenschaftler geh+en
geh+en davon,14.029840156798379,-0.0036858512104117006,0.002056460939485564,0.010151760362034266,-0.007329947060772989,geh+en davon
davon myanmar,6.304711174127057,-0.016328909791824747,0.004989138403023462,0.01850532291282651,-0.0037138193473526507,davon myanmar
myanmar besonders,10.089978513492651,-0.00835011167019864,0.003151117129319717,0.013311672991380199,-0.0060511822448362906,myanmar besonders
besonders stark,11.088856245958873,-0.03767112324429889,-0.027353613157004724,0.10707797450980798,-0.03659962130550502,besonders stark
Anga…,5.293347849935069,-0.0198105168404503,0.005776440228819588,0.0206796468144911,-0.0026250297448876703,Anga…
myanmar anga…,5.293347849935069,-0.0198105168404503,0.005776440228819588,0.0206796468144911,-0.0026250297448876703,myanmar anga…
+413,5.2084864195230445,-0.02014944933343957,0.005852591196857023,0.02088822317572588,-0.0025166677230196517,+413
anga… +413,5.2084864195230445,-0.02014944933343957,0.005852591196857023,0.02088822317572588,-0.0025166677230196517,anga… +413
+413 chars,5.151918160931389,-0.020380211479139584,0.005904388391248341,0.021029916956726055,-0.0024426468504023364,+413 chars
kompakt stark+es,11.238635457154315,-0.006751655357996395,0.002777550113437617,0.012238269076879913,-0.00649580505294347,kompakt stark+es
myanmar china,14.117411529950747,-0.0036038875830041637,0.0020371029378027723,0.010095501032402325,-0.00735193824654618,myanmar china
china der,11.603377293938031,-0.006292303664637905,0.0026698874997780004,0.011927922277713863,-0.00662229247138043,china der
us+-+erdbeben+warte verzeichn+ete,9.71183672450537,-0.008934865944831314,0.0032873505916526475,0.013701749973293847,-0.005886724088929754,us+-+erdbeben+warte verzeichn+ete
Russlands,329.9378692417698,0.020164914571173545,-0.0034947621676139863,-0.007006819561043434,-0.013567803013712033,Russlands
Staatschef,8.699189103824548,-0.010678030088349668,0.0036920743316913706,0.014856041622409229,-0.005390426299608747,Staatschef
russland+s staat+s+chef,6.428109307736798,-0.015962462596092568,0.004905740192992082,0.018273127514354382,-0.0038258709790319613,russland+s staat+s+chef
staat+s+chef blick,5.901584310792895,-0.01760637675181251,0.0052790814661648625,0.019309822202807747,-0.00331943709271048,staat+s+chef blick
NATO,5.786639862497445,-0.019433426571065344,0.009716151879332946,0.01816076456474158,-0.004599427452230699,NATO
blick nato,5.786639862497445,-0.019433426571065344,0.009716151879332946,0.01816076456474158,-0.004599427452230699,blick nato
nato mehr,5.889091435980415,-0.01919175960480681,0.009957240546808455,0.017840804240021275,-0.00481101954684376,nato mehr
Soldaten,12.290751628940662,-0.006526307442192321,0.004317547751565095,0.010355378423254456,-0.006511747329100438,Soldaten
mehr soldat+en,6.000883830557095,-0.018944181154327056,0.01023975226067039,0.017491995561856426,-0.00504377922559615,mehr soldat+en
Arktis,6.442029183250708,-0.01812559098066942,0.011561835121879069,0.016109999129777272,-0.005988999363608831,Arktis
soldat+en arktis,6.442029183250708,-0.01812559098066942,0.011561835121879069,0.016109999129777272,-0.005988999363608831,soldat+en arktis
stationieren,6.690977328431995,-0.01777160706752874,0.01246305473023058,0.015318745568078485,-0.0065476916239641594,stationieren
arktis stationier+en,6.690977328431995,-0.01777160706752874,0.01246305473023058,0.015318745568078485,-0.0065476916239641594,arktis stationier+en
erdbeben südostasiatisch+en,15.343322306983213,-0.002526936127167585,0.001782378272699839,0.009354085974769832,-0.0076395109340356235,erdbeben südostasiatisch+en
südostasiatisch+en land+er,12.13279495634195,-0.00566103598115291,0.002521710101650657,0.011500090509888733,-0.006795222238685707,südostasiatisch+en land+er
land+er thailand,11.466148693190794,-0.00686747070977238,0.003947134816752503,0.011647931703264162,-0.006972932460074105,land+er thailand
beb+te minutenlang,11.197363583409278,-0.017923853210710283,-0.00813219578779162,0.0014221211909657147,0.02676820179679713,beb+te minutenlang
+5079,5.399590399077777,-0.01939793959183509,0.005683624549715567,0.020425006636826747,-0.0027563657989367004,+5079
minutenlang +5079,5.399590399077777,-0.01939793959183509,0.005683624549715567,0.020425006636826747,-0.0027563657989367004,minutenlang +5079
+5079 chars,5.318924942011211,-0.01971002035034195,0.00575384393997992,0.020617696164334943,-0.0026570786274854007,+5079 chars
